fqdn_no,label
fqdn_0,0
fqdn_1,1
fqdn_2,0
fqdn_3,1
fqdn_4,1
fqdn_5,1
fqdn_6,0
fqdn_7,1
fqdn_8,1
fqdn_9,0
fqdn_10,1
fqdn_11,1
fqdn_12,1
fqdn_13,0
fqdn_14,0
fqdn_15,1
fqdn_16,1
fqdn_17,1
fqdn_18,1
fqdn_19,1
fqdn_20,0
fqdn_21,1
fqdn_22,0
fqdn_23,1
fqdn_24,0
fqdn_25,0
fqdn_26,1
fqdn_27,1
fqdn_28,0
fqdn_29,1
fqdn_30,1
fqdn_31,1
fqdn_32,1
fqdn_33,1
fqdn_34,0
fqdn_35,1
fqdn_36,1
fqdn_37,1
fqdn_38,1
fqdn_39,1
fqdn_40,1
fqdn_41,0
fqdn_42,1
fqdn_43,0
fqdn_44,1
fqdn_45,0
fqdn_46,0
fqdn_47,1
fqdn_48,1
fqdn_49,1
fqdn_50,1
fqdn_51,1
fqdn_52,0
fqdn_53,1
fqdn_54,0
fqdn_55,0
fqdn_56,0
fqdn_57,1
fqdn_58,1
fqdn_59,1
fqdn_60,0
fqdn_61,1
fqdn_62,1
fqdn_63,1
fqdn_64,0
fqdn_65,0
fqdn_66,1
fqdn_67,0
fqdn_68,1
fqdn_69,1
fqdn_70,0
fqdn_71,1
fqdn_72,1
fqdn_73,1
fqdn_74,1
fqdn_75,1
fqdn_76,0
fqdn_77,1
fqdn_78,1
fqdn_79,0
fqdn_80,1
fqdn_81,1
fqdn_82,1
fqdn_83,1
fqdn_84,0
fqdn_85,1
fqdn_86,1
fqdn_87,0
fqdn_88,1
fqdn_89,1
fqdn_90,1
fqdn_91,0
fqdn_92,1
fqdn_93,1
fqdn_94,1
fqdn_95,1
fqdn_96,0
fqdn_97,0
fqdn_98,0
fqdn_99,0
fqdn_100,1
fqdn_101,1
fqdn_102,0
fqdn_103,0
fqdn_104,0
fqdn_105,1
fqdn_106,1
fqdn_107,1
fqdn_108,0
fqdn_109,0
fqdn_110,1
fqdn_111,1
fqdn_112,0
fqdn_113,1
fqdn_114,0
fqdn_115,1
fqdn_116,0
fqdn_117,0
fqdn_118,1
fqdn_119,0
fqdn_120,0
fqdn_121,0
fqdn_122,0
fqdn_123,0
fqdn_124,1
fqdn_125,1
fqdn_126,0
fqdn_127,0
fqdn_128,1
fqdn_129,1
fqdn_130,1
fqdn_131,1
fqdn_132,1
fqdn_133,1
fqdn_134,0
fqdn_135,1
fqdn_136,1
fqdn_137,0
fqdn_138,0
fqdn_139,1
fqdn_140,0
fqdn_141,0
fqdn_142,1
fqdn_143,0
fqdn_144,0
fqdn_145,1
fqdn_146,1
fqdn_147,1
fqdn_148,1
fqdn_149,1
fqdn_150,0
fqdn_151,1
fqdn_152,0
fqdn_153,1
fqdn_154,1
fqdn_155,1
fqdn_156,1
fqdn_157,1
fqdn_158,1
fqdn_159,0
fqdn_160,1
fqdn_161,1
fqdn_162,1
fqdn_163,1
fqdn_164,0
fqdn_165,0
fqdn_166,1
fqdn_167,0
fqdn_168,1
fqdn_169,0
fqdn_170,0
fqdn_171,0
fqdn_172,1
fqdn_173,0
fqdn_174,1
fqdn_175,1
fqdn_176,1
fqdn_177,1
fqdn_178,0
fqdn_179,0
fqdn_180,1
fqdn_181,1
fqdn_182,1
fqdn_183,0
fqdn_184,0
fqdn_185,1
fqdn_186,1
fqdn_187,0
fqdn_188,1
fqdn_189,0
fqdn_190,1
fqdn_191,0
fqdn_192,1
fqdn_193,1
fqdn_194,1
fqdn_195,1
fqdn_196,1
fqdn_197,1
fqdn_198,0
fqdn_199,0
fqdn_200,1
fqdn_201,1
fqdn_202,1
fqdn_203,1
fqdn_204,1
fqdn_205,0
fqdn_206,1
fqdn_207,0
fqdn_208,1
fqdn_209,1
fqdn_210,0
fqdn_211,0
fqdn_212,0
fqdn_213,0
fqdn_214,0
fqdn_215,1
fqdn_216,1
fqdn_217,1
fqdn_218,0
fqdn_219,0
fqdn_220,1
fqdn_221,1
fqdn_222,1
fqdn_223,0
fqdn_224,1
fqdn_225,1
fqdn_226,1
fqdn_227,0
fqdn_228,1
fqdn_229,0
fqdn_230,1
fqdn_231,1
fqdn_232,0
fqdn_233,1
fqdn_234,1
fqdn_235,1
fqdn_236,0
fqdn_237,1
fqdn_238,1
fqdn_239,1
fqdn_240,1
fqdn_241,1
fqdn_242,1
fqdn_243,1
fqdn_244,0
fqdn_245,1
fqdn_246,1
fqdn_247,0
fqdn_248,1
fqdn_249,1
fqdn_250,1
fqdn_251,1
fqdn_252,1
fqdn_253,1
fqdn_254,1
fqdn_255,1
fqdn_256,1
fqdn_257,1
fqdn_258,1
fqdn_259,0
fqdn_260,0
fqdn_261,0
fqdn_262,0
fqdn_263,1
fqdn_264,1
fqdn_265,1
fqdn_266,1
fqdn_267,0
fqdn_268,1
fqdn_269,1
fqdn_270,0
fqdn_271,1
fqdn_272,0
fqdn_273,1
fqdn_274,1
fqdn_275,1
fqdn_276,1
fqdn_277,0
fqdn_278,0
fqdn_279,0
fqdn_280,0
fqdn_281,0
fqdn_282,0
fqdn_283,1
fqdn_284,0
fqdn_285,1
fqdn_286,0
fqdn_287,1
fqdn_288,0
fqdn_289,0
fqdn_290,0
fqdn_291,1
fqdn_292,1
fqdn_293,0
fqdn_294,0
fqdn_295,1
fqdn_296,0
fqdn_297,1
fqdn_298,1
fqdn_299,1
fqdn_300,1
fqdn_301,0
fqdn_302,1
fqdn_303,0
fqdn_304,0
fqdn_305,0
fqdn_306,1
fqdn_307,1
fqdn_308,1
fqdn_309,1
fqdn_310,0
fqdn_311,1
fqdn_312,0
fqdn_313,1
fqdn_314,1
fqdn_315,0
fqdn_316,1
fqdn_317,1
fqdn_318,1
fqdn_319,0
fqdn_320,1
fqdn_321,1
fqdn_322,0
fqdn_323,0
fqdn_324,1
fqdn_325,1
fqdn_326,1
fqdn_327,0
fqdn_328,0
fqdn_329,0
fqdn_330,0
fqdn_331,1
fqdn_332,1
fqdn_333,0
fqdn_334,1
fqdn_335,0
fqdn_336,1
fqdn_337,1
fqdn_338,1
fqdn_339,0
fqdn_340,1
fqdn_341,1
fqdn_342,0
fqdn_343,1
fqdn_344,1
fqdn_345,1
fqdn_346,1
fqdn_347,1
fqdn_348,1
fqdn_349,0
fqdn_350,1
fqdn_351,0
fqdn_352,0
fqdn_353,1
fqdn_354,0
fqdn_355,0
fqdn_356,1
fqdn_357,1
fqdn_358,0
fqdn_359,1
fqdn_360,1
fqdn_361,0
fqdn_362,0
fqdn_363,1
fqdn_364,1
fqdn_365,1
fqdn_366,1
fqdn_367,1
fqdn_368,0
fqdn_369,0
fqdn_370,0
fqdn_371,1
fqdn_372,0
fqdn_373,1
fqdn_374,0
fqdn_375,1
fqdn_376,0
fqdn_377,1
fqdn_378,0
fqdn_379,1
fqdn_380,0
fqdn_381,0
fqdn_382,0
fqdn_383,1
fqdn_384,1
fqdn_385,1
fqdn_386,0
fqdn_387,1
fqdn_388,1
fqdn_389,1
fqdn_390,1
fqdn_391,0
fqdn_392,0
fqdn_393,1
fqdn_394,1
fqdn_395,1
fqdn_396,0
fqdn_397,1
fqdn_398,1
fqdn_399,1
fqdn_400,0
fqdn_401,1
fqdn_402,0
fqdn_403,1
fqdn_404,1
fqdn_405,1
fqdn_406,1
fqdn_407,0
fqdn_408,0
fqdn_409,1
fqdn_410,0
fqdn_411,1
fqdn_412,1
fqdn_413,0
fqdn_414,1
fqdn_415,1
fqdn_416,0
fqdn_417,0
fqdn_418,1
fqdn_419,1
fqdn_420,1
fqdn_421,0
fqdn_422,1
fqdn_423,0
fqdn_424,0
fqdn_425,0
fqdn_426,1
fqdn_427,1
fqdn_428,1
fqdn_429,0
fqdn_430,1
fqdn_431,0
fqdn_432,1
fqdn_433,1
fqdn_434,0
fqdn_435,0
fqdn_436,0
fqdn_437,0
fqdn_438,1
fqdn_439,0
fqdn_440,0
fqdn_441,1
